mc_scenario,mc_path_id,mc_seed,final_nav__buy_hold_50_50,final_nav__fractal_dynamic_aave_hedged_lp,final_nav__fractal_fixed_hedge_lp,final_nav__fractal_plain_uniswap_v2_lp,max_drawdown__buy_hold_50_50,max_drawdown__fractal_dynamic_aave_hedged_lp,max_drawdown__fractal_fixed_hedge_lp,max_drawdown__fractal_plain_uniswap_v2_lp,sharpe__buy_hold_50_50,sharpe__fractal_dynamic_aave_hedged_lp,sharpe__fractal_fixed_hedge_lp,sharpe__fractal_plain_uniswap_v2_lp,dynamic_minus_plain_final_nav,dynamic_minus_fixed_final_nav,dynamic_drawdown_improvement_vs_plain,dynamic_minus_plain_sharpe
sideways_low_vol,7,49,89540.94474212814,106491.97278028617,107765.28730022762,104837.5826918984,-0.26864778978517634,-0.5945831049834557,-0.5919128098330404,-0.7712193073281041,-0.620013350573306,0.5035657566049986,0.51502313562742,0.7431052616893064,1654.3900883877795,-1273.314519941443,0.17663620234464839,-0.23953950508430777
sideways_low_vol,8,50,93481.23112110764,74256.1917334489,78155.3532195744,48684.523280324225,-0.1712937490250379,-0.3859244437093615,-0.361173455456695,-0.7174764396766075,-0.38833469010081384,-0.8599581045884777,-0.6989656870822192,-0.4279902262938128,25571.668453124672,-3899.1614861255075,0.33155199596724594,-0.4319678782946649
sideways_low_vol,9,51,121561.1165671853,186219.92124621672,187224.3693958792,290806.81521422195,-0.12317256810323063,-0.33112252984047064,-0.33143578953855735,-0.4671392858355037,1.353157662410048,1.3708633182536487,1.3804875078437673,1.6940528207202148,-104586.89396800523,-1004.448149662494,0.13601675599503305,-0.3231895024665661
sideways_low_vol,10,52,99505.56920815486,113618.97531128033,114293.17119645915,126172.2553789277,-0.14350877459131706,-0.416009817112748,-0.41446661895053005,-0.6209534382030039,0.04272232391379717,0.5074518071250919,0.5198927200035676,0.6997193430203237,-12553.28006764737,-674.1958851788222,0.20494362109025588,-0.19226753589523182
sideways_low_vol,11,53,98502.74431170149,136715.0811657899,139351.90232860117,175393.2030141188,-0.1632877776706927,-0.238793745539581,-0.2261668002714622,-0.4902427213203606,-0.027193051730531513,0.9012327487380112,0.9485474706488443,1.0858001471701924,-38678.12184832891,-2636.8211628112767,0.2514489757807796,-0.18456739843218117
strong_downtrend,0,300042,56056.35675069195,105075.5917062709,100297.93077869213,60314.41131433099,-0.4461778676955662,-0.30863502555285827,-0.3009353251330672,-0.6851971187284926,-2.4834631757007597,0.3575452255346934,0.2652683306184127,0.40514183802416803,44761.18039193992,4777.660927578778,0.3765620931756344,-0.04759661248947461
strong_downtrend,1,300043,69652.8268648563,109230.81357799345,112877.33886131019,97600.06551208685,-0.3675550021538896,-0.39343063836964476,-0.37242278442942467,-0.6873593295981257,-1.0180687689823458,0.45695695537882547,0.5053695983709096,0.7195032455519901,11630.748065906606,-3646.5252833167324,0.293928691228481,-0.2625462901731646
strong_downtrend,2,300044,83103.54258315155,150857.02490718797,152514.98569118,188981.4012159435,-0.459426262959744,-0.957807958910233,-0.9572519686680843,-0.9754333222145622,-0.30355177227897645,1.5343148580692607,1.5355190969350925,1.823253769612382,-38124.37630875554,-1657.9607839920209,0.01762536330432929,-0.28893891154312135
strong_downtrend,3,300045,90906.5443105519,1653398.542345128,1659346.8084403889,3208389.0662894603,-0.36812248314937257,-0.867844104678954,-0.8682542017983677,-0.9617866586722124,-0.20359391409101435,2.4990051559365125,2.499513146684374,2.993325623336963,-1554990.5239443323,-5948.266095260857,0.09394255399325835,-0.49432046740045044
strong_downtrend,4,300046,81449.76644707701,68342.88503047985,75978.28002011258,33694.80760889307,-0.3728053164299103,-0.47499238373356734,-0.42255569657248915,-0.8030281488741372,-0.5593114718975828,-0.30101428601052327,-0.1571478309327562,-0.03492043645156916,34648.077421586786,-7635.394989632725,0.32803576514056987,-0.2660938495589541
strong_downtrend,5,300047,60585.67863595289,157427.94825231793,151846.65610412872,167542.95761501358,-0.45268934439254827,-0.5654939261966441,-0.5902429243830667,-0.8157742395971332,-1.7075095331988988,0.9618686621973109,0.9177984562155649,1.108878615026461,-10115.009362695651,5581.292148189212,0.2502803134004892,-0.14700995282914997
strong_downtrend,6,300048,68772.54671455733,130280.66003578914,142017.62406756775,154894.88201260834,-0.44643563115915275,-0.5631432550852917,-0.576985904953234,-0.8219430528958962,-1.2289898371373444,0.738128943583804,0.8385865804983642,1.0225252090746675,-24614.2219768192,-11736.96403177861,0.25879979781060447,-0.2843962654908635
strong_downtrend,7,300049,66276.12239619478,341425.66528185026,335152.3804954112,538792.7849063892,-0.37164498370373467,-0.42628753757643634,-0.4504483730382157,-0.6649827169891666,-1.5954414570920832,1.7493677828977283,1.7106573856924598,1.8331369133193642,-197367.11962453893,6273.284786439035,0.23869517941273022,-0.08376913042163592
strong_downtrend,8,300050,63995.86632651977,16971576.62525255,16972449.90923384,33811811.40473945,-0.4258699852892589,-0.8132112746873064,-0.8128632166917338,-0.8324793384840863,-1.4111032885397323,3.336553839371536,3.337832246218439,3.52387681166655,-16840234.7794869,-873.2839812897146,0.019268063796779922,-0.18732297229501382
strong_downtrend,9,300051,73651.54633982044,180686.5199782432,181586.61105162697,238709.18548464574,-0.46855671676542365,-0.5606156985209314,-0.5590622105846993,-0.7695674905276516,-0.7368772148168775,1.1581744662236302,1.1674039596471566,1.3241755238341943,-58022.665506402554,-900.0910733837809,0.2089517920067202,-0.16600105761056416
strong_downtrend,10,300052,70224.66065398841,252008.61327185636,246521.49711127923,365370.75760700076,-0.47456853063187565,-0.5089530828684826,-0.5221694964385564,-0.7356711038439708,-0.9903698351349657,1.473017456244722,1.444389678824679,1.6207989225774413,-113362.1443351444,5487.116160577134,0.2267180209754882,-0.14778146633271927
strong_downtrend,11,300053,101491.60685330516,222778.4499048451,229453.26472968786,357759.78336528107,-0.27403927088826563,-0.6280373961171504,-0.6187372084027914,-0.6768401284491148,0.20065075309062638,1.2902531932850727,1.3181592236848925,1.6065395664009976,-134981.33346043597,-6674.814824842761,0.048802732331964416,-0.3162863731159249
