strategy_name,final_nav,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,turnover,number_of_rebalances,total_costs,average_health_factor,average_idle_ratio,mc_scenario,mc_path_id,mc_seed,mc_max_hedge_error,mc_lp_delta_change
fractal_plain_uniswap_v2_lp,2019371.46175722,1919521.46175722,19.230994589202666,2.9397782011681866,2.4848863147184623,-0.8975508017842037,0.0,0,0.0,inf,0.0,high_vol_chop,10,100052,,
buy_hold_50_50,55995.58141344208,-44004.41858655792,-0.44008125701215217,0.2627124809773871,-2.075907328758406,-0.47230852502262355,0.0,0,0.0,inf,0.0,high_vol_chop,11,100053,,
fractal_dynamic_aave_hedged_lp,128754.44691414715,28829.44691414715,0.28854814257640493,0.6159224575565667,0.7193495056327465,-0.5683661809474316,234923.45042742827,158,2604.923450427428,2.814471443695419,0.2728310133050998,high_vol_chop,11,100053,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,123245.07636976388,23320.076369763876,0.23340533199678926,0.6311499537990166,0.6477367858721227,-0.5731915946795203,0.0,0,0.0,7.940299729988622,0.18742358425955827,high_vol_chop,11,100053,,
fractal_plain_uniswap_v2_lp,105986.84339100857,6136.843391008573,0.061467853069518075,1.4554531901877512,0.7680339492265081,-0.8871545763546564,0.0,0,0.0,inf,0.0,high_vol_chop,11,100053,,
buy_hold_50_50,309908.3935596802,209908.3935596802,2.0994841662768207,0.37074493706985706,3.2364057997762536,-0.15370904817543762,0.0,0,0.0,inf,0.0,strong_uptrend,0,200042,,
fractal_dynamic_aave_hedged_lp,70123.7593808105,-29801.2406191895,-0.2982644575486414,1.1453878684554384,0.2633469930049061,-0.7573878056262631,121706.9991867985,52,901.7069991867985,1.4642125029330397,0.10133629918683686,strong_uptrend,0,200042,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,43943.62251110593,-55981.37748889407,-0.5602751943659603,1.2209469268120114,-0.06204485049686291,-0.8680944970115384,0.0,0,0.0,1.3580303535129443,0.1861383424398556,strong_uptrend,0,200042,,
fractal_plain_uniswap_v2_lp,165557.83892886344,65707.83892886344,0.6581612093592608,1.5889367813620179,1.1111219029855035,-0.8003495545571069,0.0,0,0.0,inf,0.0,strong_uptrend,0,200042,,
buy_hold_50_50,92357.5441490392,-7642.455850960803,-0.0764329414862992,0.2723134687452757,-0.15580526367058173,-0.20537832474605577,0.0,0,0.0,inf,0.0,strong_uptrend,1,200043,,
fractal_dynamic_aave_hedged_lp,86787.36684095039,-13137.633159049612,-0.13148891487997316,0.45064652542964917,-0.08755999651442689,-0.3325620041697357,213260.6939396884,157,2568.2606939396883,2.796122523053615,0.19480091164972504,strong_uptrend,1,200043,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,88968.87099141315,-10956.129008586853,-0.10965532766044062,0.44702390257682295,-0.036372331470450416,-0.32609347166319025,0.0,0,0.0,2.2934863682171165,0.2317055450943417,strong_uptrend,1,200043,,
fractal_plain_uniswap_v2_lp,69160.76588421818,-30689.234115781815,-0.3073824109426455,1.1390048093848069,0.24657204053827653,-0.7207438245810678,0.0,0,0.0,inf,0.0,strong_uptrend,1,200043,,
buy_hold_50_50,103710.47271001556,3710.472710015558,0.03710904092896472,0.317762505386544,0.2735102141169747,-0.23024568160673087,0.0,0,0.0,inf,0.0,strong_uptrend,2,200044,,
fractal_dynamic_aave_hedged_lp,69104.31193563291,-30820.68806436709,-0.3084673272978644,1.5045793951051978,0.5072986195259297,-0.9104639034740758,202108.00571697426,110,1852.1080057169743,2.030416319113066,0.15034334062913307,strong_uptrend,2,200044,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,73686.25140741594,-26238.74859258406,-0.2626100682200124,1.4971515241089124,0.5452459426521398,-0.9050579705342026,0.0,0,0.0,1.8021909272066288,0.18819307524836015,strong_uptrend,2,200044,,
fractal_plain_uniswap_v2_lp,48672.2610692911,-51177.7389307089,-0.51258619609829,2.0156305320222723,0.6515571798984149,-0.9678515074202969,0.0,0,0.0,inf,0.0,strong_uptrend,2,200044,,
buy_hold_50_50,99817.90088124381,-182.09911875618855,-0.0018211988975728177,0.23276743961291785,0.10853585976306862,-0.3566658863655472,0.0,0,0.0,inf,0.0,strong_uptrend,3,200045,,
fractal_dynamic_aave_hedged_lp,143812.09871449613,43887.098714496125,0.43926021230258994,0.570881688552499,0.923170840543629,-0.6648789941426811,167836.0539391248,94,1577.8360539391247,2.071485591776806,0.2426400475422579,strong_uptrend,3,200045,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,143563.25748773487,43638.25748773487,0.4367695447320601,0.5816927004267711,0.9137479871955275,-0.6683524482295211,0.0,0,0.0,3.2604474888562747,0.17818602736771214,strong_uptrend,3,200045,,
fractal_plain_uniswap_v2_lp,184308.9659667943,84458.96596679429,0.8459876228479641,1.1526567821691505,1.107974897274257,-0.8667676246206466,0.0,0,0.0,inf,0.0,strong_uptrend,3,200045,,
